Metropolitan Statistical Area,First  Quarter  2023,Margin of Error1,Second  Quarter  2023,Margin of Error1,Third  Quarter  2023,Margin of Error1,Fourth  Quarter  2023,Margin of Error1,First  Quarter  2022,Margin of Error1,Second  Quarter  2022,Margin of Error1,Third  Quarter  2022,Margin of Error1,Fourth  Quarter  2022,Margin of Error1,First  Quarter  2021,Margin of Error1,Second  Quarter  2021,Margin of Error1,Third  Quarter  2021,Margin of Error1,Fourth  Quarter  2021,Margin of Error1
"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",63.4,7.7,69.9,7.8,61.6,7.7,57.8,7.6,66.1,7.8,63.1,7.8,59.1,8,64.3,7.8,65,8.2,68.5,7.8,61.1,8,66,7.6
"Cape Coral-Fort Myers, FL...................................................................................",68.2,12.6,79.9,10,86.7,8.7,78.1,9.8,68.2,8.1,66.8,8,66.8,7.7,66.8,7.4,68.7,8.2,63.2,8.1,62.1,7.8,61.4,8.1
"Charleston-North Charleston-Summerville, SC....................................................................................................",71.5,8.3,74,7.7,70.1,7.8,62.8,8.6,68.5,11.3,71.2,11.3,76.9,10.5,66.1,12.7,76.1,10.2,73.1,10.3,77.9,9.7,77.5,9.7
"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",65.5,5.5,69.6,5.6,62.7,5.9,61.5,5.6,80.9,7.4,76.1,7.9,64.7,8.6,66.5,8.7,68.2,8.7,73.8,8,74,7.7,76.2,7.4
"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",68.8,2.8,68.8,2.8,65.6,2.8,66.1,2.8,75.5,5.2,72.2,5.4,66.5,5.8,60.3,5.9,73,5.3,67.5,5.6,66.8,5.7,72.9,5.5
"Cincinnati, OH-KY-IN7............................................................................................",68.4,6,70.8,6.1,70,6.2,69.3,5.9,68.3,2.8,65.5,2.9,64.5,2.9,68.9,2.8,68,2.8,65.7,2.9,67.6,2.8,68.6,2.8
"Cleveland-Elyria, OH8..............................................................................................",65,5.5,60,5.4,64.4,5.4,63.2,5.8,66.7,6.5,65.6,6.1,70.9,5.8,65.2,6,66.6,6.3,71.5,5.9,76.7,5.7,73.3,6
"Columbia, SC………………………………………….",63.8,8.4,66.3,8,72.2,7.9,75,7.7,62.8,5.5,62.8,5.6,64.7,5.5,61.8,5.9,60.3,5.7,67.2,5.5,66.7,5.4,64.6,5.5
"Columbus, OH............................................................................................................................................",59.3,6.3,61.7,6.1,58,6.2,55.5,6,71.6,7.6,71.8,7.7,71.6,7.7,68.4,8,70.7,7.3,68.1,7.6,72.1,7.7,66.7,7.8
"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",61.5,3.4,64.5,3.3,61.8,3.3,59,3.2,65.7,6,61.4,6.2,60.2,6.4,58.6,6.2,67.4,5.9,64.2,6.2,64.4,6.2,62.2,6.3
"Dayton, OH...........................................................................................................................................................",59.1,9.5,56.7,9.5,59.3,9.7,67.4,9.3,61.7,3.4,62.9,3.3,60.1,3.4,56.9,3.4,63.7,3.4,60.7,3.4,60.8,3.3,62,3.4
"Denver-Aurora-Lakewood, CO9...............................................................................................................................",69.7,4.9,69.6,4.9,67.9,4.9,56.7,5.1,49.8,9.9,61,9.5,61.7,9.6,67.6,9.3,60.8,10.4,62.2,10.4,67.2,9.9,67.8,9.7
"Detroit-Warren-Dearborn, MI10....................................................................................................................",73,3.9,73.2,3.9,74.8,3.8,72.8,3.9,63.2,5.2,61.3,5.2,66,5,67.7,4.9,61.1,5.3,64.4,5,61.9,5.2,63.5,5.2
"Fresno, CA………………………………………………",53.7,10.2,47.9,10.3,55.8,9.7,58.6,9.6,72.4,3.9,71.5,3.9,72.5,3.9,71,4,72.6,3.9,70.6,4,73.5,3.9,69.7,4
"Grand Rapids-Wyoming, MI....................................................................................................................................",64.5,8.5,64.7,8.7,64.8,8.3,69.5,8.1,56.7,10.3,43,10.2,57.2,9.8,59.7,9.8,59.7,10.3,48.2,9.7,57.6,9.8,62.3,10.4
"Greensboro-High Point, NC............................................................................................................................",73.5,7.6,71.7,7.9,61.6,8.5,70.4,8,68.8,8.3,63.8,8.5,72.2,8.1,68.1,8.3,61.2,8.8,59.7,9,68.9,8.6,70,8.3
"Hartford-West Hartford-East Hartford, CT................................................................................",67.3,7.1,66.7,7.2,66.9,7.3,68.3,7.1,69,8.2,71.6,8.1,68.3,8.3,71,8.2,67.4,8,62.9,8.3,54.5,8.3,62.9,8.2
"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",60.9,3.6,61,3.5,62.8,3.5,62.6,3.6,63.7,7,61.5,7.1,63.1,7.3,67.9,6.7,69.4,6.8,70.3,6.9,72.2,7.2,71.1,6.9
"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",69.2,5.5,69.4,5.5,72.6,5.3,69.6,5.3,61.3,3.6,61.5,3.5,65.2,3.5,66.7,3.4,65.6,3.5,64.6,3.5,62.2,3.5,64.1,3.6
"Jacksonville, FL..........................................................................................................................................",72.9,6.9,76.7,6.5,75.3,6.8,66.7,7.2,64.1,5.9,67.1,5.8,72,5.5,71.6,5.3,69.7,5.6,67.1,5.9,72.5,5.5,71,5.4
"Kansas City, MO-KS.............................................................................................................................................",64.3,4.3,60.9,4.6,62.8,4.6,68.1,4.2,71.4,7,74.2,6.7,72.9,6.8,63.5,7.5,65.8,7,68.2,6.9,71.8,6.9,66.7,7.2
"Knoxville, TN.............................................................................................................................................",61.4,8,59.9,7.9,64.8,7.7,71.5,7.6,61.4,4.3,63.3,4.4,64.3,4.5,66.4,4.3,66.6,4.4,66.2,4.2,60.3,4.3,62.3,4.3
"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",59.1,4.4,59.2,4.4,57.7,4.3,59.8,4.3,57.7,8,64.4,8.1,69,7.8,63.9,8,54.8,8.4,70.9,7.6,74.1,7,63.4,7.6
"Little Rock-North Little Rock-Conway, AR..................................................................................................................",65.8,9.5,59.7,9.9,59.5,9.5,65.4,9.5,56.6,4.4,59.1,4.4,58.9,4.3,60.2,4.4,58,4.3,59,4.3,55.8,4.5,58.1,4.4
"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",46.1,2.7,46.8,2.7,50.9,2.7,48.3,2.7,63.4,9.8,64,9.8,62.4,9.6,67.8,9.2,61.2,9.9,65.7,9.6,63.9,9.7,67.7,9.5
"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",65.9,6.2,70.3,6.2,68.5,6.5,68.9,6.6,45.2,2.7,48,2.7,49.9,2.7,50.2,2.7,48.3,2.7,48.6,2.7,46.8,2.7,47.8,2.7
"Memphis, TN-AR-MS.............................................................................................................................................",63.1,6.7,61.8,6.6,60.8,6.2,67.2,6,71,6,71.8,6.4,73.6,6.1,70.4,6.3,71.3,6.1,73,6.1,73.9,6.4,67.7,6.4
"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",55.5,3.8,57.3,3.9,61.1,3.8,60.6,3.8,59.9,6.5,59.7,6.6,58.1,6.6,61.3,6.6,67.4,6.4,60.7,6.8,57.5,6.8,57.2,6.8
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",62.6,6.9,59.1,6.8,59.4,7.1,58.9,7,58.6,3.8,57.7,3.8,60,3.8,57.1,3.8,62.4,3.8,58.7,3.8,58.3,3.8,58.3,3.8
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",67.6,4.5,72.4,4.3,75.3,4.2,72.7,4.3,56.8,6.8,64.5,6.6,57.2,7,50.5,7,55.8,7,58.8,6.9,60.7,6.9,52,6.8
"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",71.4,4.9,68.5,5.2,72,5.4,71,5.1,68.3,4.6,73,4.3,74.6,4.2,75.8,4.2,70.8,4.5,77,4.1,76.6,4.1,75.4,4.2
"New Haven-Milford, CT..............................................................................................................................................................",67.1,8.5,68.8,8.7,68.5,9.1,69,8.2,75.2,4.8,69.1,5.3,69.4,5.4,67.6,5.2,65.4,5.4,63.4,5.5,63.1,5.6,70.7,5.2
"New Orleans-Metairie, LA.18....................................................................................................................................",60.4,5.9,60.1,5.5,68,5.4,64.2,5.5,59.4,9,64.3,9.2,61.3,9,68.5,8.7,60.2,8.9,61.4,9.1,61.3,8.8,61.2,9.3
"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",50.7,2.1,51.3,2.1,51.5,2.1,47.3,2.1,64.5,5.6,62.6,5.6,70.2,5.4,67.9,5.6,69.7,5.2,65.4,5.7,61.7,5.6,67.9,5.5
"North Port-Bradenton-Sarasota, FL.......................................................................................................",85.7,7,82.9,7.8,65,9.6,72.3,8.7,50,2.1,50.6,2.1,51.2,2.1,50.1,2.1,51.8,2.2,49.7,2.1,50.3,2.2,50.9,2.1
"Oklahoma City, OK.............................................................................................................................................................................",66.8,5.5,67.7,5.3,67.8,5.5,70.2,5.3,80.8,8.1,81,8.1,73.2,9,76.3,8.3,78.6,8.6,88.1,7.3,79.5,9.2,79.8,7.8
"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",63.3,5.2,68.8,4.9,67.2,4.9,68.6,5.1,60.2,5.5,65.7,5.6,68.8,5.6,65.2,5.7,63.6,5.4,62.6,5.5,62.5,5.5,59.2,5.3
"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",65.5,5.3,62,5.4,56.8,5.5,63.5,5.5,62.5,5.1,67.1,5.1,68.8,5,73.3,4.8,67,5.2,65.6,5.3,70.1,5,71.3,4.8
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",66.5,3.6,63.9,3.6,71.2,3.4,68,3.6,64.4,5.5,64.1,5.6,60.6,5.7,59.3,5.5,64.7,5.9,61.7,5.9,63,5.7,62.9,5.6
"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",67.5,3.8,70.4,3.7,71.6,3.7,69.5,3.8,66.5,3.6,66.8,3.6,69.7,3.5,69.9,3.5,71.3,3.5,69.5,3.5,68.9,3.5,69.5,3.6
"Pittsburgh, PA.....................................................................................................................................................................................................",75.7,5,73.2,5.1,68.5,5.5,72,5.2,67.2,3.9,67.2,3.9,70.5,3.8,67.2,3.9,66.1,3.9,64.6,4,63.9,4,66.3,3.8
"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",66.1,4.3,64.8,4.2,67.1,4.1,64.3,4.2,72.4,5.4,73.5,5.3,72.4,5.3,72.6,5.2,67.6,5.6,73.5,5.3,66.3,5.5,69.2,5.5
"Providence-Warwick, RI-MA23.........................................................................................................................",67.8,3.4,67.2,3.4,62.9,3.5,63.9,3.5,63.7,4.3,65,4.2,66.2,4.2,65.9,4.3,63.4,4.3,65.6,4.3,64.6,4.2,62.8,4.3
"Raleigh, NC24............................................................................................................................................................................",64.6,7.1,70.5,6.7,72.5,6.4,67.3,6.7,70.2,3.3,66.6,3.4,63.5,3.4,64.8,3.5,67,3.3,58.8,3.5,63.3,3.4,67.3,3.3
"Richmond, VA.........................................................................................................................................................................",66.5,7.4,69.1,7.3,70.5,7.5,53.6,8,66.8,7,66.6,7.4,65.1,7,62.3,7.1,59.8,7.5,58.3,7.7,66.3,7.3,66.2,7.1
"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",70.5,4.2,70.7,4.3,71.2,4.4,70.2,4.3,65.3,7.4,65.2,7.2,66.3,7.6,68.5,7.3,65.3,7.3,67.4,7.2,62.5,7.7,64.4,7.8
"Rochester, NY...........................................................................................................................................................................................",63.9,8.1,71.5,7.7,68,8.1,70.6,8,68.8,4.3,64.3,4.5,62.4,4.6,63.9,4.5,61.9,4.5,63.6,4.5,62.1,4.6,62.2,4.5
"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",65.3,5.9,66.5,5.8,63.4,5.9,62.4,6,66,8.2,69.7,7.9,73.6,7.7,74.8,7.6,75.5,7.7,66.9,8.7,67.4,8.4,66.5,8.1
"St. Louis, MO-IL..................................................................................................................................................................................",68.8,4.9,71.9,4.7,67.6,4.7,69.5,4.7,67.5,6,61.8,5.8,63.7,5.7,61.5,5.9,66,6,59.3,6,65.6,5.7,62.1,6.1
"Salt Lake City, UT....................................................................................................................................................................",62.5,5.7,64.2,5.4,63.8,5.3,61,5.4,69.4,4.8,69.4,4.8,68.8,4.7,71.9,4.6,73.1,4.6,76.7,4.4,72.5,4.6,73,4.7
"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",68.3,5.3,64.6,5.5,65.3,5.3,69.4,5.2,64.6,5.8,64.6,5.8,69.1,5.4,67.8,5.3,69.2,5.5,66.1,5.5,57.3,5.7,64.5,5.8
"San Diego-Carlsbad, CA27.................................................................................................................................",52.5,5.1,56,5.1,52.7,5,56.8,5,66.1,5.6,63.9,5.6,61.4,5.7,60.6,5.4,62.9,5.5,57.5,5.6,65.3,5.5,65.1,5.5
"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",58.3,4.1,54.9,4.1,54.2,4.4,52.4,4.4,48.4,5.3,53,5.2,50.7,5.3,54.1,5.3,50.6,5.2,51.6,5.3,55,5.1,52.9,5.3
"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",53.3,6.5,51.7,6.4,53.7,6.6,55.3,6.7,56.3,4.2,55.9,4.3,54.3,4.3,59.1,4.2,56,4.4,57.2,4.3,52.9,4.3,52.9,4.3
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",61.7,4.2,61.6,4.3,63.3,4.2,64,4.1,47.3,6.6,51.1,6.8,59.7,6.7,54.8,6.7,51.1,6.7,46.7,6.7,49.2,6.8,46.7,6.6
"Syracuse, NY………………………………………….",73.1,10.9,77.4,11,62.6,12.2,59.6,10.5,59.7,4.3,59.9,4.4,64.7,4.2,66.3,4.1,56,4.4,59.8,4.4,56.5,4.5,59.7,4.3
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",61.1,5.2,67.5,5,70,4.7,68.5,4.8,75.5,10.2,73,11.2,72.1,11,67.7,11.2,65.1,10.3,67.2,11,69.4,10.7,69.3,11
"Toledo, OH………………………………………………..",67.9,11.9,75.7,11.4,78.6,11.2,85.5,9.5,66.4,5.1,71.7,4.9,72.8,4.7,63.1,5,70.9,4.8,67.8,5.1,69.7,4.9,64.7,5
"Tucson, AZ ..........................................................................................................................................................................................................",83.7,7,67.8,8.4,74.9,8.2,67.5,8.7,71.7,11.3,65.2,12.6,67.4,11.8,73,11.3,68.1,11.4,51.5,12.1,61.9,11.3,60,12.6
"Tulsa, OK....................................................................................................................................................................................................",63.5,6.6,58.9,6.9,64.6,6.3,64.1,6.5,70.3,8.4,68.4,8,71.2,8.3,77,7.7,60.7,8.3,71.5,7.8,63.5,8.4,58.1,8.8
"Urban Honolulu, HI29..................................................................................................................................",56.6,4.5,59.9,4.5,64.7,4.5,60.6,4.5,64.9,6.7,61.5,6.8,61.4,6.6,66.9,6.5,67.5,7,62.9,7,60,7.1,65.2,7
"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",68.9,6.7,69.2,6.7,63.6,6.6,69.7,6.2,57.3,4.6,56.5,4.5,58.1,4.5,58.9,4.5,59.5,4.6,55.9,4.7,54,4.6,54.4,4.7
"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",64.5,3.7,66.4,3.6,64.1,3.6,65.6,3.5,66.6,7,64.5,7.4,54.1,7,61.2,6.9,65.3,7.1,64.7,7.2,63.3,6.8,64.2,6.8
"Worcester, MA.........................................................................................................................................................................................",66.2,7.4,69.4,7.4,66.5,7.3,66.4,7.2,66.8,3.6,67.7,3.6,65.9,3.6,64.4,3.6,65.5,3.6,66,3.7,66.3,3.6,65.6,3.6
,,,,,,,,,62.8,8.1,66.2,7.8,63,7.4,67.1,7.2,60,8,72,7.3,68.9,7.4,73.4,6.9
